precinct_id,dis_id,voters_total,lat,lon,mun_id
1001,1,1476,41.691115777601134,44.801002829513635,1
1002,1,1310,41.68973908429964,44.798624123656424,1
1003,1,1459,41.69156637630917,44.79769389036097,1
1004,1,1181,41.68835687948774,44.79244546965157,1
1005,1,1481,41.69015481142627,44.79275974095782,1
1006,1,1488,41.69342411049408,44.79405421863321,1
1007,1,1469,41.69350544058649,44.79792024392588,1
1008,1,1121,41.69618338595362,44.80118023289855,1
1009,1,1398,41.696335205034195,44.79788109403125,1
1010,1,1595,41.69627938478369,44.79230960741012,1
1011,1,1621,41.698212135211364,44.79225508477933,1
1012,1,1559,41.69939299053668,44.795220562499026,1
1013,1,1324,41.69935490724518,44.800191605010184,1
1014,1,1278,41.70237884271119,44.79688756442018,1
1015,1,1314,41.700225699987335,44.79181463720353,1
1016,1,1553,41.70193526257468,44.79188104131321,1
1017,1,1124,41.706688823468575,44.78982847211953,1
1018,1,1120,41.70489747259846,44.78860151366137,1
1019,1,1511,41.70225456440114,44.78842100795939,1
1020,1,1429,41.7022217170362,44.78529351800441,1
1021,1,1454,41.70551192528643,44.78565574475351,1
1022,1,1503,41.70686123880838,44.78305643506149,1
1023,1,1395,41.704597325062316,44.78316837338956,1
1024,1,1582,41.70199342132478,44.78121282008216,1
1025,1,945,41.70113418017278,44.77412520385966,1
1026,1,1458,41.703011852704094,44.77638611428847,1
1027,1,1630,41.705163766454014,44.77892150060036,1
1028,1,1353,41.70734929856867,44.78000781693324,1
1029,1,1510,41.71016547263713,44.785103215242785,1
1030,1,1216,41.71047667464986,44.78157731395777,1
1031,1,1392,41.70846614829034,44.782963458892894,1
1032,1,1265,41.68587431822595,44.77083709206568,1
1033,1,1254,41.69084790214263,44.79923472535272,1
1034,1,1237,41.70199063473855,44.79964328901553,1
1035,1,1246,41.65812201806881,44.70377380227814,1
1036,1,204,41.66486381367168,44.64101755479091,1
1037,1,1571,41.651472449115,44.75404238126651,1
1038,1,910,41.66739291143252,44.74561542520432,1
1039,1,1208,41.66513895394819,44.76723132294894,1
2001,2,1346,41.70723010090096,44.77695839565467,1
2002,2,1443,41.708331356835295,44.776041837566936,1
2003,2,1453,41.70667331157921,44.774586227667676,1
2004,2,1496,41.70741831596108,44.77145676386235,1
2005,2,1313,41.710344039294306,44.773392154140026,1
2006,2,1336,41.703627194297255,44.77263177465972,1
2007,2,1117,41.70915934164858,44.7667254679861,1
2008,2,1250,41.7052852140687,44.77041319820622,1
2009,2,1242,41.706128375770156,44.7628850584969,1
2010,2,1404,41.70902951250926,44.763308396359875,1
2011,2,1389,41.71000749946105,44.75761794973516,1
2012,2,1381,41.708924334579635,44.757267628719326,1
2013,2,1409,41.707151249090806,44.755910747999174,1
2014,2,1391,41.71408567913135,44.75971077059881,1
2015,2,1463,41.7128030765404,44.750798840172045,1
2016,2,1369,41.711854488447436,44.7449387784635,1
2017,2,1466,41.710782913566966,44.74154294869658,1
2018,2,1090,41.70792701382765,44.73974191383445,1
2019,2,1558,41.713926303886524,44.71783430967054,1
2020,2,345,41.73827391751543,44.69836195156572,1
2021,2,1297,41.72114333272818,44.74468703519239,1
2022,2,976,41.732140020266236,44.74631451156157,1
2023,2,1457,41.72867144360115,44.73893984239351,1
2024,2,1497,41.72956404544698,44.73349845126906,1
2025,2,1472,41.730922186175896,44.73259516713929,1
2026,2,1499,41.7264920305533,44.74243837516628,1
2027,2,1292,41.72475813421061,44.74217852738247,1
2028,2,1464,41.726335366979534,44.73961463982418,1
2029,2,1332,41.721615403412585,44.730882749939326,1
2030,2,1353,41.725904411422576,44.733139628023025,1
2031,2,1160,41.725301598145855,44.72985815956421,1
2032,2,910,41.72183068767241,44.74137680143911,1
2033,2,1242,41.726893976419916,44.72385292082099,1
2034,2,1304,41.72927830124939,44.72602753429615,1
2035,2,1204,41.73095129169492,44.724840580877284,1
2036,2,1411,41.72490436831536,44.726584596607985,1
2037,2,1260,41.72174054898991,44.72799663635918,1
2038,2,1359,41.72121327225321,44.7271407525826,1
2039,2,1508,41.7199190964002,44.72101942142352,1
2040,2,1043,41.72471034224672,44.713949700708625,1
2041,2,878,41.73178608451544,44.75126735721131,1
2042,2,1457,41.7322647429445,44.72022091906335,1
2043,2,1421,41.7303283684047,44.76818482583017,1
2044,2,1456,41.72363746365746,44.720656616274276,1
2045,2,1470,41.72479885758947,44.72133965209505,1
2046,2,1277,41.72919547664698,44.75184123012441,1
2047,2,1289,41.73440757429786,44.7254116449563,1
2048,2,1361,41.71284424787175,44.744789633947754,1
2049,2,1392,41.71179171908761,44.759175041881996,1
2050,2,1473,41.70798799092392,44.762630733601945,1
2051,2,1405,41.711590597856926,44.761994516309436,1
2052,2,1185,41.70954087675656,44.77161288829769,1
2053,2,1519,41.70676163997883,44.728407722751506,1
2054,2,1083,41.72343395264007,44.72788866943936,1
2055,2,1288,41.7218679059161,44.72377546321346,1
2056,2,1537,41.719686365581524,44.71845852520715,1
2057,2,1328,41.733813634231844,44.730951897227264,1
2058,2,1389,41.73447459175472,44.724581684864056,1
2059,2,1440,41.729328086278706,44.73330179902645,1
2060,2,1296,41.72597881457226,44.7234024299943,1
2061,2,1460,41.728867450333354,44.74950519625875,1
2062,2,1338,41.72554983161016,44.73597280514485,1
2063,2,1303,41.721328852533205,44.72112278731861,1
2064,2,1408,41.72590190985771,44.71664976649551,1
2065,2,630,41.68527109944753,44.69188144827372,1
2066,2,1140,41.69018883715493,44.69384158450006,1
2067,2,972,41.69633211207731,44.690862491409874,1
2068,2,1336,41.7002548060309,44.69912684661857,1
2069,2,1120,41.69644504563262,44.70600491868452,1
2070,2,931,41.69234407066783,44.69943092573976,1
2071,2,1483,41.71081408758259,44.764188545799726,1
2072,2,899,41.728997843540185,44.72185463618317,1
2073,2,1054,41.73330186435247,44.72480814725122,1
2074,2,943,41.727561618810974,44.71894175355831,1
2075,2,869,41.6913076810578,44.68976800755071,1
2076,2,1261,41.70739600421795,44.766126901633264,1
2077,2,866,NA,NA,1
2078,2,905,41.72322908686729,44.74045725726396,1
3001,3,1602,41.71692908664441,44.782628680375886,1
3002,3,1389,41.71854952200246,44.77499364965794,1
3003,3,1382,41.71809219131841,44.771742650093856,1
3004,3,1524,41.715391973480656,44.76443747117022,1
3005,3,1557,41.71567856294229,44.77321389935998,1
3006,3,1337,41.72514166432765,44.74785639226596,1
3007,3,1329,41.72269197051822,44.75161307900123,1
3008,3,1582,41.71690675631861,44.76611086536451,1
3009,3,1573,41.71877650880436,44.76126503013119,1
3010,3,1479,41.72089800005968,44.76571626895473,1
3011,3,1432,41.72055901339027,44.76946453312907,1
3012,3,1578,41.72189311014478,44.76434380927591,1
3013,3,1550,41.723348106695774,44.76669306983837,1
3014,3,1541,41.72327826331989,44.77096192028401,1
3015,3,1503,41.72480750338186,44.766813902270364,1
3016,3,1552,41.72415395806588,44.76061322561268,1
3017,3,1403,41.72674685444477,44.76513599041187,1
3018,3,1471,41.72549455268846,44.75203873183002,1
3019,3,1405,41.728032267408686,44.74731484900244,1
3020,3,1329,41.7280832057953,44.7546296268759,1
3021,3,1344,41.72836267413881,44.76306373217801,1
3022,3,1447,41.72841675675651,44.76603015654207,1
3023,3,1377,41.73208465602146,44.75920695252176,1
3024,3,1557,41.73289491276318,44.76430966903591,1
3025,3,1372,41.735053728104205,44.76829943327363,1
3026,3,1238,41.727771322730575,44.769074106025535,1
3027,3,1444,41.73020380051436,44.76994684680194,1
3028,3,1410,41.72801120126902,44.77078290662759,1
3029,3,1446,41.72470407283783,44.77205575117342,1
3030,3,1283,41.72321191143263,44.776168487650004,1
3031,3,1554,41.72146448081284,44.775552399247346,1
3032,3,1472,41.728986562483584,44.775089368618865,1
3033,3,1373,41.75626543067426,44.75934834616829,1
3034,3,1322,41.75019664686826,44.763694792064484,1
3035,3,1541,41.797525708826996,44.77242114098023,1
3036,3,1569,41.790725994814615,44.76293146245812,1
3037,3,1564,41.790690514055115,44.76018323663706,1
3038,3,1498,41.79443016225583,44.763015889048695,1
3039,3,1238,41.79380115722485,44.75872971726713,1
3040,3,1599,41.78950651375499,44.747392021185576,1
