area_id,name_en,name_ka,level,code,parent_id,parent_name_en,parent_name_ka,voters_total,lat,lon
29,Kazbegi,ყაზბეგი,mun,GE-M029,3,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,5788,42.612511008394094,44.533424139535114
30,Kaspi,კასპი,mun,GE-M030,5,Shida Kartli,შიდა ქართლი,40358,41.8867757142481,44.37035667506855
32,Gori,გორი,mun,GE-M032,NA,NA,NA,112205,41.962281791949415,44.06941765676972
33,Kareli,ქარელი,mun,GE-M033,5,Shida Kartli,შიდა ქართლი,37597,41.986132269674094,43.83213742922787
35,Khashuri,ხაშური,mun,GE-M035,5,Shida Kartli,შიდა ქართლი,50345,42.013927902712204,43.61623273161297
36,Borjomi,ბორჯომი,mun,GE-M036,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,27597,41.77567562677594,43.4888550329502
37,Akhaltsikhe,ახალციხე,mun,GE-M037,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,36451,41.640740115536815,43.018699291330755
38,Adigeni,ადიგენი,mun,GE-M038,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,15718,41.716682238148465,42.71858501329744
40,Akhalkalaki,ახალქალაქი,mun,GE-M040,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,41000,41.43445315423854,43.46077726067624
41,Ninotsminda,ნინოწმინდა,mun,GE-M041,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,22825,41.297015219961594,43.71672258298349
43,Oni,ონი,mun,GE-M043,7,Racha-Lechkhumi-Kvemo Svaneti,რაჭა-ლეჩხუმი-ქვემო სვანეთი,6829,42.66624523601319,43.486774830331065
44,Ambrolauri,ამბროლაური,mun,GE-M044,7,Racha-Lechkhumi-Kvemo Svaneti,რაჭა-ლეჩხუმი-ქვემო სვანეთი,11985,42.57104852691266,43.12087175917024
45,Tsageri,ცაგერი,mun,GE-M045,7,Racha-Lechkhumi-Kvemo Svaneti,რაჭა-ლეჩხუმი-ქვემო სვანეთი,11969,42.62680655453424,42.792112327808574
46,Lentekhi,ლენტეხი,mun,GE-M046,7,Racha-Lechkhumi-Kvemo Svaneti,რაჭა-ლეჩხუმი-ქვემო სვანეთი,5948,42.81959343521217,42.84394900571095
47,Mestia,მესტია,mun,GE-M047,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,8441,43.01993201091069,42.47239785599124
51,Zestaponi,ზესტაფონი,mun,GE-M051,8,Imereti,იმერეთი,57084,42.13376147144466,43.04883829977703
49,Terjola,თერჯოლა,mun,GE-M049,8,Imereti,იმერეთი,34719,42.232462653064005,42.92798373151552
48,Kharagauli,ხარაგაული,mun,GE-M048,8,Imereti,იმერეთი,20365,42.004916997890454,43.2655607705168
39,Aspindza,ასპინძა,mun,GE-M039,6,Samtskhe-Javakheti,სამცხე-ჯავახეთი,9850,41.50086354911924,43.21783632878238
52,Baghdati,ბაღდათი,mun,GE-M052,8,Imereti,იმერეთი,23376,41.9698808507391,42.88173583487137
53,Vani,ვანი,mun,GE-M053,8,Imereti,იმერეთი,26857,42.01519643220157,42.61112957332639
54,Samtredia,სამტრედია,mun,GE-M054,8,Imereti,იმერეთი,48387,42.15447504257659,42.37098370927023
55,Khoni,ხონი,mun,GE-M055,8,Imereti,იმერეთი,24242,42.39278602045077,42.49631190235135
56,Chiatura,ჭიათურა,mun,GE-M056,8,Imereti,იმერეთი,45326,42.27727847405249,43.268339019017866
57,Tkibuli,ტყიბული,mun,GE-M057,8,Imereti,იმერეთი,23857,42.35818154436014,42.91525564313083
58,Tskaltubo,წყალტუბო,mun,GE-M058,8,Imereti,იმერეთი,53336,42.31098765200647,42.645243286280504
59,Kutaisi city,ქ. ქუთაისი,mun,GE-M059,8,Imereti,იმერეთი,163083,42.24672119463597,42.6905618903062
60,Ozurgeti,ოზურგეთი,mun,GE-M060,9,Guria,გურია,64397,41.91814065679631,42.032809439785574
61,Lanchkhuti,ლანჩხუთი,mun,GE-M061,9,Guria,გურია,30099,42.08031175635964,41.95005747664064
62,Chokhatauri,ჩოხატაური,mun,GE-M062,9,Guria,გურია,18829,41.9302767621641,42.393374987846364
63,Abasha,აბაშა,mun,GE-M063,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,22042,42.3031207994835,42.08485526226083
64,Senaki,სენაკი,mun,GE-M064,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,42730,42.19861563059152,42.20191515454193
65,Martvili,მარტვილი,mun,GE-M065,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,34553,42.532774369402304,42.39201640375741
66,Khobi,ხობი,mun,GE-M066,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,29465,42.28647064678263,41.831274284997335
67,Zugdidi,ზუგდიდი,mun,GE-M067,10,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,128577,42.467607702647946,41.8211141310226
